Size	Method	Real Time(s)	Flops/Cycle	MFLOPS	Relative Error
40	ijk	6.100000e-04	0.598289	2230.196721	0.000000
40	ikj	5.800000e-04	0.600011	2345.275862	0.000000
40	jik	5.600000e-04	0.607207	2430.000000	0.000000
40	jki	5.600000e-04	0.610622	2430.625000	0.000000
40	kij	5.600000e-04	0.615043	2428.410714	0.000000
40	kji	5.600000e-04	0.612031	2430.375000	0.000000
40	dgemm_1	4.400000e-04	0.756659	3000.636364	0.000000
40	dgemm_2	2.300000e-04	1.528174	5670.521739	0.271741
40	dgemm_3	1.500000e-04	2.540348	8665.466667	0.267463
40	dgemm_4	2.000000e-04	1.829888	6538.100000	0.274074
40	atlas	2.400000e-04	1.422420	5354.583333	0.000000
80	ijk	4.200000e-03	0.639620	2682.257143	0.419411
80	ikj	4.200000e-03	0.640064	2681.385714	0.421181
80	jik	4.190000e-03	0.641793	2688.114558	0.423218
80	jki	4.190000e-03	0.640654	2688.410501	0.417263
80	kij	4.210000e-03	0.640819	2675.795724	0.419137
80	kji	4.190000e-03	0.641396	2687.799523	0.415313
80	dgemm_1	3.160000e-03	0.800719	3355.920886	0.423126
80	dgemm_2	1.490000e-03	1.680919	6953.261745	0.445531
80	dgemm_3	8.400000e-04	3.010862	12291.809524	0.435392
80	dgemm_4	1.030000e-03	2.513610	10343.553398	0.441204
80	atlas	9.900000e-04	2.587467	10464.525253	0.000000
120	ijk	1.361000e-02	0.652278	2734.140338	0.563006
120	ikj	1.353000e-02	0.652668	2750.450850	0.569814
120	jik	1.353000e-02	0.652911	2750.623799	0.572113
120	jki	1.353000e-02	0.653087	2750.871397	0.572148
120	kij	1.355000e-02	0.651910	2746.134317	0.574285
120	kji	1.352000e-02	0.652955	2752.909763	0.568040
120	dgemm_1	1.048000e-02	0.812488	3423.795802	0.572311
120	dgemm_2	4.830000e-03	1.721515	7223.240166	0.568606
120	dgemm_3	2.510000e-03	3.328262	13854.812749	0.568128
120	dgemm_4	3.160000e-03	2.727170	11390.329114	0.570998
120	atlas	1.980000e-03	4.235191	17616.277778	0.000000
160	ijk	3.893000e-02	0.700738	2955.965579	0.756411
160	ikj	3.892000e-02	0.700793	2956.635920	0.761052
160	jik	3.893000e-02	0.700710	2955.482918	0.759320
160	jki	3.892000e-02	0.700861	2956.749486	0.760659
160	kij	3.891000e-02	0.700926	2956.996659	0.755065
160	kji	3.899000e-02	0.700578	2951.346756	0.757642
160	dgemm_1	2.605000e-02	0.802313	3375.679846	0.758343
160	dgemm_2	1.214000e-02	1.616285	6811.863262	0.742407
160	dgemm_3	6.380000e-03	3.080854	12958.637931	0.744542
160	dgemm_4	8.390000e-03	2.495516	10496.005959	0.745393
160	atlas	3.920000e-03	5.042655	21079.058673	0.000000
200	ijk	6.533000e-02	0.704183	2971.882902	0.706749
200	ikj	6.542000e-02	0.703279	2967.201467	0.708450
200	jik	6.542000e-02	0.703147	2967.968511	0.703905
200	jki	6.546000e-02	0.703394	2965.963031	0.709898
200	kij	6.546000e-02	0.703403	2965.804002	0.708178
200	kji	6.542000e-02	0.703948	2967.749618	0.714081
200	dgemm_1	5.110000e-02	0.805991	3400.634247	0.707374
200	dgemm_2	2.534000e-02	1.522836	6417.359116	0.712364
200	dgemm_3	1.386000e-02	2.828076	11917.707071	0.707943
200	dgemm_4	1.761000e-02	2.322236	9782.634867	0.709857
200	atlas	9.160000e-03	4.194409	17601.299127	0.000000
240	ijk	1.220400e-01	0.764072	3223.976729	0.773048
