n	P	bm	s	k	scale	p	q	time	flipins	GFLOPS
28	7	1	2	1	1	7	1	0.00	43904.00	0.067131
280	7	10	2	1	10	7	1	0.01	43904000.00	4.974958
2800	7	100	2	1	100	7	1	1.81	43904000000.00	24.271305
280	49	10	2	2	10	7	7	0.01	43904000.00	3.901537
2800	49	100	2	2	100	7	7	0.29	43904000000.00	152.878662
5600	49	200	2	2	200	7	7	1.77	351232000000.00	198.933379
11200	49	100	4	2	100	7	7	9.42	2809856000000.00	298.365859
22400	49	200	4	2	200	7	7	67.70	22478848000000.00	332.047524
28000	49	250	4	2	250	7	7	124.74	43904000000000.00	351.964410
5600	49	50	4	2	50	7	7	1.58	351232000000.00	221.945728
22400	49	100	5	2	100	7	7	68.21	22478848000000.00	329.557875
8400	49	300	2	2	300	7	7	4.53	1185408000000.00	261.771755
16800	49	300	3	2	300	7	7	32.99	9483264000000.00	287.464662
28000	49	500	3	2	500	7	7	135.82	43904000000000.00	323.242028
7840	343	10	4	3	10	49	7	0.91	963780608000.00	1059.687638
23520	343	15	5	3	15	49	7	14.09	26022076416000.00	1846.545994
31360	343	20	5	3	20	49	7	27.73	61681958912000.00	2224.294872
19600	343	25	4	3	25	49	7	8.45	15059072000000.00	1782.133847
47040	343	30	5	3	30	49	7	93.39	208176611328000.00	2229.128660
54880	343	35	5	3	35	49	7	139.51	330576748544000.00	2369.610424
31360	343	40	4	3	40	49	7	27.00	61681958912000.00	2284.587396
70560	343	45	5	3	45	49	7	321.44	702596063232000.00	2185.773799
42336	343	27	5	3	27	49	7	72.60	151760749658112.00	2090.390940
